event_slug,outcome,side,price,total_size,total_usdc,num_fills,trade_time_est,trade_date,match_level,result,ltp_total,ltp_nearby,ltp_nearest_price,ltp_nearest_size,ltp_nearest_side,ltp_nearest_time,ltp_nearest_delta_sec,ltp_confirmed,wallet_source_file,wallet_source_rows,ltp_source_file,ltp_source_row,token_id,condition_id
eth-15min-up-or-down-2026-02-21-07:45,Up,BUY,0.999,4.99,4.99,1,2026-02-21 08:02:18,2026-02-21,SLUG-ONLY,—,0,0,,,,,,False,wallet_trades.csv,2,,,67646787733098912102523248698968189130698670001024185920081461453791174431069,0x19182f0da428574a73238102961dbcfd2dcdde9674da3f370c3d374a40390b22
btc-15min-up-or-down-2026-02-20-20:15,Down,BUY,0.999,23500.0,23476.5,17,2026-02-20 20:30:32,2026-02-20,SLUG-ONLY,✅ WIN,0,0,,,,,,False,wallet_trades.csv,"58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74",,,11726172873400232178475269795942662183350461462774106724541302851757327416343,0xd09a75c692b13f95f112201ea297d148ad8eefb6caec028828707acc7706de2c
sol-15min-up-or-down-2026-02-20-16:00,Down,BUY,0.999,221.41,221.19,1,2026-02-20 16:15:56,2026-02-20,EXACT,—,0,0,,,,,,False,wallet_trades.csv,206,,,106969467760777977171217779625210384772503228755499957861748831297378098966136,0x8222bb66951ad7fc4cb5abf2da3dd9df5645d1f54a43c3fbaf1bf5ef4f118951
sol-15min-up-or-down-2026-02-20-15:45,Down,BUY,0.999,19.09,19.07,2,2026-02-20 16:02:08,2026-02-20,EXACT,—,60,0,0.99,9.99,SELL,2026-02-20 15:58:05,242.8,False,wallet_trades.csv,"249, 250",sweeper_analysis.csv,24881,22960108587716957218274090870546395249274165378291815577512564295372832907210,0xf3bc2ee614ffea4f32ed4b025630fe97ebbbbdaa26369f7a56c9af947b4d89d1
sol-5min-up-or-down-2026-02-20-11:20,Up,BUY,0.999,15501.78,15486.28,63,2026-02-20 11:25:06,2026-02-20,SLUG-ONLY,—,0,0,,,,,,False,wallet_trades.csv,"348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410",,,72880440173254546416884769302252219092229896760834142754724572135505413201861,0x2cd0f408ab6da17ab92476e9e5c4ed133c9745d7d996f986b958f009bc031bb1
btc-5min-up-or-down-2026-02-20-11:05,Up,BUY,0.99,23500.0,23265.0,1,2026-02-20 11:10:10,2026-02-20,SLUG-ONLY,—,0,0,,,,,,False,wallet_trades.csv,411,,,95671777062175290166411910269806684494289536326504010755297289276804300598037,0x08e0d5787fe3bdb420029d0d6453cf593c0deb29779d23223543aa15f664d8ed
sol-5min-up-or-down-2026-02-20-11:00,Up,BUY,0.999,1.88,1.88,1,2026-02-20 11:06:54,2026-02-20,SLUG-ONLY,❌ LOSS,0,0,,,,,,False,wallet_trades.csv,412,,,83543247786151505955694722532663314161907423234290299033827237724638287193990,0x8bbfc9703e93c3bd9dcf2a38184d6d65ff7d594706a587e6c611dcbdca4e3a40
eth-15min-up-or-down-2026-02-20-08:00,Down,BUY,0.999,299.91,299.61,2,2026-02-20 08:15:38,2026-02-20,SLUG-ONLY,—,0,0,,,,,,False,wallet_trades.csv,"436, 439",,,75301315732565639843451119327767777521932566346424793042428171660995987738534,0x94fff67672439e367ae1082fbefb702e60a85d7120a66c4ce317409d774354c2
eth-15min-up-or-down-2026-02-20-04:45,Up,BUY,0.999,20.43,20.41,1,2026-02-20 05:02:30,2026-02-20,EXACT,✅ WIN,0,0,,,,,,False,wallet_trades.csv,458,,,43535330908990725177425690425467592416742499348249225069233176405678207836852,0x5ab8153e4f8078802cbbe12eb60c5898a019e546cf2f1e02c4bf4f4f4162dd54
btc-15min-up-or-down-2026-02-20-04:15,Up,BUY,0.999,340.94,340.6,5,2026-02-20 04:31:10,2026-02-20,EXACT,✅ WIN,0,0,,,,,,False,wallet_trades.csv,"462, 463, 464, 465, 466",,,105346060913427056918075534308015812370265151708655519335174837435177266901091,0x177f9e51873bde42370ec95efe713fc3ad86d9fad2083e373e7c19b9fc18d525
